Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire
CID_69097,Industrial,69097,C8H9I,232.06,3.3,0,0,0.0,CC1=C(C(=CC=C1)C)I,PubChem,,,,Structure_PubChem,232.064,2.908,0,0,0.0,9,1,0,,,,,232.064
CID_69290,Industrial,69290,C14H14,182.26,4.5,0,0,0.0,CC1=CC=C(C=C1)CC2=CC=CC=C2,PubChem,,,,Structure_PubChem,182.266,3.5858,0,0,0.0,14,2,2,,,,,182.266
CID_69302,Industrial,69302,C9H12O,136.19,2.9,1,1,20.2,CCCC1=CC(=CC=C1)O,PubChem,,,,Structure_PubChem,136.194,2.3447,1,1,20.23,10,1,2,,,,,136.194
CID_69335,Industrial,69335,C8H8Br2,263.96,3,0,0,0.0,C1=CC(=CC=C1CBr)CBr,PubChem,,,,Structure_PubChem,263.96,3.4764,0,0,0.0,10,1,2,,,,,263.96
CID_69370,Industrial,69370,C6H6S2,142.2,2.2,2,2,2.0,C1=CC=C(C(=C1)S)S,PubChem,,,,Structure_PubChem,142.248,2.264,2,2,0.0,8,1,0,,,,,142.248
CID_69373,Industrial,69373,C8H8Br2,263.96,3.1,0,0,0.0,C1=CC(=CC(=C1)CBr)CBr,PubChem,,,,Structure_PubChem,263.96,3.4764,0,0,0.0,10,1,2,,,,,263.96
CID_69461,Industrial,69461,C9H8O5,196.16,1.2,2,5,83.8,C1=CC=C(C(=C1)C(=O)O)OCC(=O)O,PubChem,,,,Structure_PubChem,196.158,0.8482,2,3,83.83,14,1,4,,,,,196.158
CID_69530,Industrial,69530,C6H6Se,157.08,,0,0,0.0,C1=CC=C(C=C1)[SeH],PubChem,,,,Structure_PubChem,157.074,0.2127,0,0,0.0,7,1,0,,,,,157.074
CID_69597,Industrial,69597,C8H11P,138.15,1.5,0,0,0.0,CP(C)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,138.15,2.0534,0,0,0.0,9,1,1,,,,,138.15
CID_69600,Industrial,69600,C8H8O3,152.15,1.5,1,3,46.5,COC1=CC(=C(C=C1)C=O)O,PubChem,,,,Structure_PubChem,152.149,1.2133,1,3,46.53,11,1,2,,,,,152.149
CID_69601,Industrial,69601,C9H8,116.16,3,0,0,0.0,CC#CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,116.163,2.058,0,0,0.0,9,1,0,,,,,116.163
CID_69727,Industrial,69727,C12H14O,174.24,4.2,1,1,20.2,C1CCC(=CC1)C2=CC=C(C=C2)O,PubChem,,,,Structure_PubChem,174.243,3.3496,1,1,20.23,13,2,1,,,,,174.243
CID_69738,Industrial,69738,C14H14,182.26,4.7,0,0,0.0,CC1=CC=CC=C1CC2=CC=CC=C2,PubChem,,,,Structure_PubChem,182.266,3.5858,0,0,0.0,14,2,2,,,,,182.266
CID_69761,Industrial,69761,C14H12O3,228.24,2.9,1,3,46.5,C1=CC=C(C=C1)OCC2=CC=CC=C2C(=O)O,PubChem,,,,Structure_PubChem,228.247,2.9638,1,2,46.53,17,2,4,,,,,228.247
CID_69836,Industrial,69836,C7H10Si,122.24,,0,0,0.0,C[SiH2]C1=CC=CC=C1,PubChem,,,,Structure_PubChem,122.243,0.5288,0,0,0.0,8,1,1,,,,,122.243
CID_69849,Industrial,69849,C9H14Si,150.29,,0,0,0.0,C[Si](C)(C)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,150.297,2.2318,0,0,0.0,10,1,1,,,,,150.297
CID_69858,Industrial,69858,C6H2F4O,166.07,2.1,1,5,20.2,C1=C(C(=C(C(=C1F)F)O)F)F,PubChem,,,,Structure_PubChem,166.073,1.9486,1,1,20.23,11,1,0,,,,,166.073
CID_69862,Industrial,69862,C10H16Si,164.32,,0,0,0.0,C[Si](C)(C)CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,164.324,3.1065,0,0,0.0,11,1,2,,,,,164.324
CID_69888,Industrial,69888,C12H12Si,184.31,,0,0,0.0,C1=CC=C(C=C1)[SiH2]C2=CC=CC=C2,PubChem,,,,Structure_PubChem,184.314,0.8062,0,0,0.0,13,2,2,,,,,184.314
CID_69930,Industrial,69930,C18H15O3P,310.3,2.1,2,3,57.5,C1=CC=C(C=C1)P(=O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,PubChem,,,,Structure_PubChem,310.289,2.7372,2,3,57.53,22,3,3,,,,,310.289
CID_69990,Industrial,69990,C6H5Cl2OP,194.98,3.1,0,1,17.1,C1=CC=C(C=C1)P(=O)(Cl)Cl,PubChem,,,,Structure_PubChem,194.985,2.9826,0,1,17.07,10,1,1,,,,,194.985
CID_69991,Industrial,69991,C8H10OS,154.23,1,0,2,36.3,CS(=O)CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,154.234,1.5651,0,1,17.07,10,1,2,,,,,154.234
CID_70015,Industrial,70015,C7H5F3O2,178.11,2.6,1,5,29.5,C1=CC(=CC=C1O)OC(F)(F)F,PubChem,,,,Structure_PubChem,178.109,2.2908,1,2,29.46,12,1,1,,,,,178.109
CID_70017,Industrial,70017,C12H11P,186.19,3,0,0,0.0,C1=CC=C(C=C1)PC2=CC=CC=C2,PubChem,,,,Structure_PubChem,186.194,2.3159,0,0,0.0,13,2,2,,,,,186.194
CID_70029,Industrial,70029,C15H14,194.27,4.5,0,0,0.0,C1CC2=CC=CC=C2CC3=CC=CC=C31,PubChem,,,,Structure_PubChem,194.277,3.376,0,0,0.0,15,3,0,,,,,194.277
CID_70112,Industrial,70112,C9H10,118.18,3.3,0,0,0.0,C1CC1C2=CC=CC=C2,PubChem,,,,Structure_PubChem,118.179,2.564,0,0,0.0,9,2,1,,,,,118.179
CID_70140,Industrial,70140,C8H8O4,168.15,1.9,2,4,66.8,COC1=CC=CC(=C1O)C(=O)O,PubChem,,,,Structure_PubChem,168.148,1.099,2,3,66.76,12,1,2,,,,,168.148
CID_70144,Industrial,70144,C9H8O3,164.16,0.6,0,3,43.4,CC(=O)OC1=CC=C(C=C1)C=O,PubChem,,,,Structure_PubChem,164.16,1.4244,0,3,43.37,12,1,2,,,,,164.16
CID_70161,Industrial,70161,C12H10O3,202.21,2.7,1,3,46.5,COC1=CC2=CC=CC=C2C=C1C(=O)O,PubChem,,,,Structure_PubChem,202.209,2.5466,1,2,46.53,15,2,2,,,,,202.209
CID_70174,Industrial,70174,C16H10,202.25,5.2,0,0,0.0,C1=CC=C(C=C1)C#CC#CC2=CC=CC=C2,PubChem,,,,Structure_PubChem,202.256,3.0898,0,0,0.0,16,2,0,,,,,202.256
CID_70327,Industrial,70327,C8H9Cl3Si,239.6,,0,0,0.0,C1=CC=C(C=C1)CC[Si](Cl)(Cl)Cl,PubChem,,,,Structure_PubChem,239.605,3.8844,0,0,0.0,12,1,3,,,,,239.605
CID_70348,Industrial,70348,C13H13As,244.16,,0,0,0.0,C[As](C1=CC=CC=C1)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,244.169,1.9254,0,0,0.0,14,2,2,,,,,244.169
CID_70535,Industrial,70535,C12H10Sn,272.92,,0,0,0.0,C1=CC=C(C=C1)[Sn]C2=CC=CC=C2,PubChem,,,,Structure_PubChem,272.923,1.3416,0,0,0.0,13,2,2,,,,,272.923
CID_70718,Industrial,70718,C6H6OS,126.18,1.7,2,2,21.2,C1=CC=C(C(=C1)O)S,PubChem,,,,Structure_PubChem,126.18,1.6809,2,2,20.23,8,1,0,,,,,126.18
