Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire,PubChem_CID,Formule_PubChem,Masse_molaire_PubChem,LogP_PubChem,HBD_PubChem,HBA_PubChem,TPSA_PubChem,Atomes_lourds_PubChem,Anneaux_PubChem,Liaisons_rotatables_PubChem,SMILES_isomerique,IUPAC_Name,PubChem_Statut,RDKit_Atomes_lourds,RDKit_Anneaux,RDKit_Liaisons_rotatables,Nom_original,Nom_PubChem,IUPAC_Name_PubChem,SMILES_PubChem,InChI_PubChem,InChIKey_PubChem
"Benzene, (1,2,2-trifluoroethenyl)-",Industrial,67971,C8H5F3,158.12,2.7,0,3,0.0,C1=CC=C(C=C1)C(=C(F)F)F,PubChem,,,,Structure_PubChem,158.122,3.2212,0,0,0.0,11,1,1,,,,,158.122,,C8H5F3,,,,,,,,,,,Trouvé,,,,CID_67971,"Benzene, (1,2,2-trifluoroethenyl)-","1,2,2-trifluoroethenylbenzene",C1=CC=C(C=C1)C(=C(F)F)F,InChI=1S/C8H5F3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,SUTQSIHGGHVXFK-UHFFFAOYSA-N
Tosiben,Industrial,68093,C11H10O6,238.19,0.9,1,6,89.9,CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O,PubChem,,,,Structure_PubChem,238.195,1.2354,1,5,89.9,17,1,3,,,,,238.195,,C11H10O6,,,,,,,,,,,Trouvé,,,,CID_68093,Tosiben,"2,3-diacetyloxybenzoic acid",CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O,"InChI=1S/C11H10O6/c1-6(12)16-9-5-3-4-8(11(14)15)10(9)17-7(2)13/h3-5H,1-2H3,(H,14,15)",NYIZXMGNIUSNKL-UHFFFAOYSA-N
"Benzene, 1-fluoro-2-(trichloromethyl)-",Industrial,68104,C7H4Cl3F,213.5,3.6,0,1,0.0,C1=CC=C(C(=C1)C(Cl)(Cl)Cl)F,PubChem,,,,Structure_PubChem,213.466,3.6524,0,0,0.0,11,1,0,,,,,213.466,,C7H4Cl3F,,,,,,,,,,,Trouvé,,,,CID_68104,"Benzene, 1-fluoro-2-(trichloromethyl)-",1-fluoro-2-(trichloromethyl)benzene,C1=CC=C(C(=C1)C(Cl)(Cl)Cl)F,"InChI=1S/C7H4Cl3F/c8-7(9,10)5-3-1-2-4-6(5)11/h1-4H",JYLVSNNSOWDQQX-UHFFFAOYSA-N
Chromanone,Industrial,68110,C9H8O2,148.16,1.4,0,2,26.3,C1COC2=CC=CC=C2C1=O,PubChem,,,,Structure_PubChem,148.161,1.6518,0,2,26.3,11,2,0,,,,,148.161,,C9H8O2,,,,,,,,,,,Trouvé,,,,CID_68110,Chromanone,"2,3-dihydrochromen-4-one",C1COC2=CC=CC=C2C1=O,"InChI=1S/C9H8O2/c10-8-5-6-11-9-4-2-1-3-7(8)9/h1-4H,5-6H2",MSTDXOZUKAQDRL-UHFFFAOYSA-N
5-Hydroxyflavone,Industrial,68112,C15H10O3,238.24,2.5,1,3,46.5,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC=C3O2)O,PubChem,,,,Structure_PubChem,238.242,3.1656,1,3,50.44,18,3,1,,,,,238.242,,C15H10O3,,,,,,,,,,,Trouvé,,,,CID_68112,5-Hydroxyflavone,5-hydroxy-2-phenylchromen-4-one,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC=C3O2)O,"InChI=1S/C15H10O3/c16-11-7-4-8-13-15(11)12(17)9-14(18-13)10-5-2-1-3-6-10/h1-9,16H",IYBLVRRCNVHZQJ-UHFFFAOYSA-N
O-Ethylvanillin,Industrial,68117,C9H10O3,166.17,1.7,1,3,46.5,CCOC1=CC=CC(=C1O)C=O,PubChem,,,,Structure_PubChem,166.176,1.6034,1,3,46.53,12,1,3,,,,,166.176,,C9H10O3,,,,,,,,,,,Trouvé,,,,CID_68117,O-Ethylvanillin,3-ethoxy-2-hydroxybenzaldehyde,CCOC1=CC=CC(=C1O)C=O,"InChI=1S/C9H10O3/c1-2-12-8-5-3-4-7(6-10)9(8)11/h3-6,11H,2H2,1H3",OFQBYHLLIJGMNP-UHFFFAOYSA-N
(Dichlorofluoromethyl)benzene,Industrial,68136,C7H5Cl2F,179.02,3.5,0,1,0.0,C1=CC=C(C=C1)C(F)(Cl)Cl,PubChem,,,,Structure_PubChem,179.021,3.244,0,0,0.0,10,1,1,,,,,179.021,,C7H5Cl2F,,,,,,,,,,,Trouvé,,,,CID_68136,(Dichlorofluoromethyl)benzene,[dichloro(fluoro)methyl]benzene,C1=CC=C(C=C1)C(F)(Cl)Cl,"InChI=1S/C7H5Cl2F/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",OMEURKZGLJYCGS-UHFFFAOYSA-N
Chavicol,Industrial,68148,C9H10O,134.17,2.9,1,1,20.2,C=CCC1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,134.178,2.1207,1,1,20.23,10,1,2,,,,,134.178,,C9H10O,,,,,,,,,,,Trouvé,,,,CID_68148,Chavicol,4-prop-2-enylphenol,C=CCC1=CC=C(C=C1)O,"InChI=1S/C9H10O/c1-2-3-8-4-6-9(10)7-5-8/h2,4-7,10H,1,3H2",RGIBXDHONMXTLI-UHFFFAOYSA-N
Neophyl chloride,Industrial,68191,C10H13Cl,168.66,4.2,0,0,0.0,CC(C)(CCl)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,168.667,3.203,0,0,0.0,11,1,2,,,,,168.667,,C10H13Cl,,,,,,,,,,,Trouvé,,,,CID_68191,Neophyl chloride,(1-chloro-2-methylpropan-2-yl)benzene,CC(C)(CCl)C1=CC=CC=C1,"InChI=1S/C10H13Cl/c1-10(2,8-11)9-6-4-3-5-7-9/h3-7H,8H2,1-2H3",DNXXUUPUQXSUFH-UHFFFAOYSA-N
2-Hydroxydithiobenzoic acid,Industrial,68243,C7H6OS2,170.3,2.2,2,3,53.3,C1=CC=C(C(=C1)C(=S)S)O,PubChem,,,,Structure_PubChem,170.258,1.9975,2,2,20.23,10,1,1,,,,,170.258,,C7H6OS2,,,,,,,,,,,Trouvé,,,,CID_68243,2-Hydroxydithiobenzoic acid,2-hydroxybenzenecarbodithioic acid,C1=CC=C(C(=C1)C(=S)S)O,"InChI=1S/C7H6OS2/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",AJQLEJAVGARHGQ-UHFFFAOYSA-N
2(3H)-Benzofuranone,Industrial,68382,C8H6O2,134.13,1.3,0,2,26.3,C1C2=CC=CC=C2OC1=O,PubChem,,,,Structure_PubChem,134.134,1.1481,0,2,26.3,10,2,0,,,,,134.134,,C8H6O2,,,,,,,,,,,Trouvé,,,,CID_68382,2(3H)-Benzofuranone,3H-1-benzofuran-2-one,C1C2=CC=CC=C2OC1=O,"InChI=1S/C8H6O2/c9-8-5-6-3-1-2-4-7(6)10-8/h1-4H,5H2",ACZGCWSMSTYWDQ-UHFFFAOYSA-N
Peucenin,Industrial,68477,C15H16O4,260.28,3.7,2,4,66.8,CC1=CC(=O)C2=C(O1)C=C(C(=C2O)CC=C(C)C)O,PubChem,,,,Structure_PubChem,260.289,3.0213,2,4,70.67,19,2,2,,,,,260.289,,C15H16O4,,,,,,,,,,,Trouvé,,,,CID_68477,Peucenin,"5,7-dihydroxy-2-methyl-6-(3-methylbut-2-enyl)chromen-4-one",CC1=CC(=O)C2=C(O1)C=C(C(=C2O)CC=C(C)C)O,"InChI=1S/C15H16O4/c1-8(2)4-5-10-11(16)7-13-14(15(10)18)12(17)6-9(3)19-13/h4,6-7,16,18H,5H2,1-3H3",DTNGBIGBPPPNNB-UHFFFAOYSA-N
2'-Methoxyacetophenone,Industrial,68481,C9H10O2,150.17,1.8,0,2,26.3,CC(=O)C1=CC=CC=C1OC,PubChem,,,,Structure_PubChem,150.177,1.8978,0,2,26.3,11,1,2,,,,,150.177,,C9H10O2,,,,,,,,,,,Trouvé,,,,CID_68481,2'-Methoxyacetophenone,1-(2-methoxyphenyl)ethanone,CC(=O)C1=CC=CC=C1OC,"InChI=1S/C9H10O2/c1-7(10)8-5-3-4-6-9(8)11-2/h3-6H,1-2H3",DWPLEOPKBWNPQV-UHFFFAOYSA-N
Methyl acetylsalicylic acid,Industrial,68484,C10H10O4,194.18,1.5,0,4,52.6,CC(=O)OC1=CC=CC=C1C(=O)OC,PubChem,,,,Structure_PubChem,194.186,1.3985,0,4,52.6,14,1,2,,,,,194.186,,C10H10O4,,,,,,,,,,,Trouvé,,,,CID_68484,Methyl acetylsalicylic acid,methyl 2-acetyloxybenzoate,CC(=O)OC1=CC=CC=C1C(=O)OC,"InChI=1S/C10H10O4/c1-7(11)14-9-6-4-3-5-8(9)10(12)13-2/h3-6H,1-2H3",ONWPLBKWMAUFGZ-UHFFFAOYSA-N
"2-Bromo-1,4-benzenediol",Industrial,68502,C6H5BrO2,189.01,2.2,2,2,40.5,C1=CC(=C(C=C1O)Br)O,PubChem,,,,Structure_PubChem,189.008,1.8603,2,2,40.46,9,1,0,,,,,189.008,,C6H5BrO2,,,,,,,,,,,Trouvé,,,,CID_68502,"2-Bromo-1,4-benzenediol","2-bromobenzene-1,4-diol",C1=CC(=C(C=C1O)Br)O,"InChI=1S/C6H5BrO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",REFDOIWRJDGBHY-UHFFFAOYSA-N
"1,3-Bis(4-carboxyphenoxy)propane",Industrial,68610,C17H16O6,316.3,3.0,2,6,93.1,C1=CC(=CC=C1C(=O)O)OCCCOC2=CC=C(C=C2)C(=O)O,PubChem,,,,Structure_PubChem,316.309,2.9309,2,4,93.06,23,2,8,,,,,316.309,,C17H16O6,,,,,,,,,,,Trouvé,,,,CID_68610,"1,3-Bis(4-carboxyphenoxy)propane",4-[3-(4-carboxyphenoxy)propoxy]benzoic acid,C1=CC(=CC=C1C(=O)O)OCCCOC2=CC=C(C=C2)C(=O)O,"InChI=1S/C17H16O6/c18-16(19)12-2-6-14(7-3-12)22-10-1-11-23-15-8-4-13(5-9-15)17(20)21/h2-9H,1,10-11H2,(H,18,19)(H,20,21)",VBISQLWPGDULSX-UHFFFAOYSA-N
Ethyldiphenylphosphine,Industrial,69082,C14H15P,214.24,3.4,0,0,0.0,CCP(C1=CC=CC=C1)C2=CC=CC=C2,PubChem,,,,Structure_PubChem,214.248,3.1392,0,0,0.0,15,2,3,,,,,214.248,,C14H15P,,,,,,,,,,,Trouvé,,,,CID_69082,Ethyldiphenylphosphine,ethyl(diphenyl)phosphane,CCP(C1=CC=CC=C1)C2=CC=CC=C2,"InChI=1S/C14H15P/c1-2-15(13-9-5-3-6-10-13)14-11-7-4-8-12-14/h3-12H,2H2,1H3",WUOIAOOSKMHJOV-UHFFFAOYSA-N
p-Cresyl salicylate,Industrial,69091,C14H12O3,228.24,4.1,1,3,46.5,CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,PubChem,,,,Structure_PubChem,228.247,2.9198,1,3,46.53,17,2,2,,,,,228.247,,C14H12O3,,,,,,,,,,,Trouvé,,,,CID_69091,p-Cresyl salicylate,(4-methylphenyl) 2-hydroxybenzoate,CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,"InChI=1S/C14H12O3/c1-10-6-8-11(9-7-10)17-14(16)12-4-2-3-5-13(12)15/h2-9,15H,1H3",AMYKXJAXRJCLCV-UHFFFAOYSA-N
Propyl salicylate,Industrial,69092,C10H12O3,180.2,3.8,1,3,46.5,CCCOC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,180.203,1.959,1,3,46.53,13,1,3,,,,,180.203,,C10H12O3,,,,,,,,,,,Trouvé,,,,CID_69092,Propyl salicylate,propyl 2-hydroxybenzoate,CCCOC(=O)C1=CC=CC=C1O,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-5-3-4-6-9(8)11/h3-6,11H,2,7H2,1H3",LZFIOSVZIQOVFW-UHFFFAOYSA-N
"Benzene, 2-iodo-1,3-dimethyl-",Industrial,69097,C8H9I,232.06,3.3,0,0,0.0,CC1=C(C(=CC=C1)C)I,PubChem,,,,Structure_PubChem,232.064,2.908,0,0,0.0,9,1,0,,,,,232.064,,C8H9I,,,,,,,,,,,Trouvé,,,,CID_69097,"Benzene, 2-iodo-1,3-dimethyl-","2-iodo-1,3-dimethylbenzene",CC1=C(C(=CC=C1)C)I,"InChI=1S/C8H9I/c1-6-4-3-5-7(2)8(6)9/h3-5H,1-2H3",QTUGGVBKWIYQSS-UHFFFAOYSA-N
4-Benzyltoluene,Industrial,69290,C14H14,182.26,4.5,0,0,0.0,CC1=CC=C(C=C1)CC2=CC=CC=C2,PubChem,,,,Structure_PubChem,182.266,3.5858,0,0,0.0,14,2,2,,,,,182.266,,C14H14,,,,,,,,,,,Trouvé,,,,CID_69290,4-Benzyltoluene,1-benzyl-4-methylbenzene,CC1=CC=C(C=C1)CC2=CC=CC=C2,"InChI=1S/C14H14/c1-12-7-9-14(10-8-12)11-13-5-3-2-4-6-13/h2-10H,11H2,1H3",SIYISNUJKMAQBV-UHFFFAOYSA-N
3-Propylphenol,Industrial,69302,C9H12O,136.19,2.9,1,1,20.2,CCCC1=CC(=CC=C1)O,PubChem,,,,Structure_PubChem,136.194,2.3447,1,1,20.23,10,1,2,,,,,136.194,,C9H12O,,,,,,,,,,,Trouvé,,,,CID_69302,3-Propylphenol,3-propylphenol,CCCC1=CC(=CC=C1)O,"InChI=1S/C9H12O/c1-2-4-8-5-3-6-9(10)7-8/h3,5-7,10H,2,4H2,1H3",MPWGZBWDLMDIHO-UHFFFAOYSA-N
"1,4-Bis(bromomethyl)benzene",Industrial,69335,C8H8Br2,263.96,3.0,0,0,0.0,C1=CC(=CC=C1CBr)CBr,PubChem,,,,Structure_PubChem,263.96,3.4764,0,0,0.0,10,1,2,,,,,263.96,,C8H8Br2,,,,,,,,,,,Trouvé,,,,CID_69335,"1,4-Bis(bromomethyl)benzene","1,4-bis(bromomethyl)benzene",C1=CC(=CC=C1CBr)CBr,"InChI=1S/C8H8Br2/c9-5-7-1-2-8(6-10)4-3-7/h1-4H,5-6H2",RBZMSGOBSOCYHR-UHFFFAOYSA-N
"1,2-Benzenedithiol",Industrial,69370,C6H6S2,142.2,2.2,2,2,2.0,C1=CC=C(C(=C1)S)S,PubChem,,,,Structure_PubChem,142.248,2.264,2,2,0.0,8,1,0,,,,,142.248,,C6H6S2,,,,,,,,,,,Trouvé,,,,CID_69370,"1,2-Benzenedithiol","benzene-1,2-dithiol",C1=CC=C(C(=C1)S)S,"InChI=1S/C6H6S2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",JRNVQLOKVMWBFR-UHFFFAOYSA-N
"Benzene, 1,3-bis(bromomethyl)-",Industrial,69373,C8H8Br2,263.96,3.1,0,0,0.0,C1=CC(=CC(=C1)CBr)CBr,PubChem,,,,Structure_PubChem,263.96,3.4764,0,0,0.0,10,1,2,,,,,263.96,,C8H8Br2,,,,,,,,,,,Trouvé,,,,CID_69373,"Benzene, 1,3-bis(bromomethyl)-","1,3-bis(bromomethyl)benzene",C1=CC(=CC(=C1)CBr)CBr,"InChI=1S/C8H8Br2/c9-5-7-2-1-3-8(4-7)6-10/h1-4H,5-6H2",OXHOPZLBSSTTBU-UHFFFAOYSA-N
"Benzoic acid, 2-(carboxymethoxy)-",Industrial,69461,C9H8O5,196.16,1.2,2,5,83.8,C1=CC=C(C(=C1)C(=O)O)OCC(=O)O,PubChem,,,,Structure_PubChem,196.158,0.8482,2,3,83.83,14,1,4,,,,,196.158,,C9H8O5,,,,,,,,,,,Trouvé,,,,CID_69461,"Benzoic acid, 2-(carboxymethoxy)-",2-(carboxymethoxy)benzoic acid,C1=CC=C(C(=C1)C(=O)O)OCC(=O)O,"InChI=1S/C9H8O5/c10-8(11)5-14-7-4-2-1-3-6(7)9(12)13/h1-4H,5H2,(H,10,11)(H,12,13)",JLLXSRLEXBECPY-UHFFFAOYSA-N
Benzeneselenol,Industrial,69530,C6H6Se,157.08,,0,0,0.0,C1=CC=C(C=C1)[SeH],PubChem,,,,Structure_PubChem,157.074,0.2127,0,0,0.0,7,1,0,,,,,157.074,,C6H6Se,,,,,,,,,,,Trouvé,,,,CID_69530,Benzeneselenol,benzeneselenol,C1=CC=C(C=C1)[SeH],"InChI=1S/C6H6Se/c7-6-4-2-1-3-5-6/h1-5,7H",WDODWFPDZYSKIA-UHFFFAOYSA-N
Dimethylphenylphosphine,Industrial,69597,C8H11P,138.15,1.5,0,0,0.0,CP(C)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,138.15,2.0534,0,0,0.0,9,1,1,,,,,138.15,,C8H11P,,,,,,,,,,,Trouvé,,,,CID_69597,Dimethylphenylphosphine,dimethyl(phenyl)phosphane,CP(C)C1=CC=CC=C1,"InChI=1S/C8H11P/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",HASCQPSFPAKVEK-UHFFFAOYSA-N
2-Hydroxy-4-Methoxybenzaldehyde,Industrial,69600,C8H8O3,152.15,1.5,1,3,46.5,COC1=CC(=C(C=C1)C=O)O,PubChem,,,,Structure_PubChem,152.149,1.2133,1,3,46.53,11,1,2,,,,,152.149,,C8H8O3,,,,,,,,,,,Trouvé,,,,CID_69600,2-Hydroxy-4-Methoxybenzaldehyde,2-hydroxy-4-methoxybenzaldehyde,COC1=CC(=C(C=C1)C=O)O,"InChI=1S/C8H8O3/c1-11-7-3-2-6(5-9)8(10)4-7/h2-5,10H,1H3",WZUODJNEIXSNEU-UHFFFAOYSA-N
Methylphenylacetylene,Industrial,69601,C9H8,116.16,3.0,0,0,0.0,CC#CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,116.163,2.058,0,0,0.0,9,1,0,,,,,116.163,,C9H8,,,,,,,,,,,Trouvé,,,,CID_69601,Methylphenylacetylene,prop-1-ynylbenzene,CC#CC1=CC=CC=C1,"InChI=1S/C9H8/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,1H3",GHUURDQYRGVEHX-UHFFFAOYSA-N
"Phenol, p-(1-cyclohexen-1-yl)-",Industrial,69727,C12H14O,174.24,4.2,1,1,20.2,C1CCC(=CC1)C2=CC=C(C=C2)O,PubChem,,,,Structure_PubChem,174.243,3.3496,1,1,20.23,13,2,1,,,,,174.243,,C12H14O,,,,,,,,,,,Trouvé,,,,CID_69727,"Phenol, p-(1-cyclohexen-1-yl)-",4-(cyclohexen-1-yl)phenol,C1CCC(=CC1)C2=CC=C(C=C2)O,"InChI=1S/C12H14O/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h4,6-9,13H,1-3,5H2",YGEZIEXHMBTZMT-UHFFFAOYSA-N
2-Benzyltoluene,Industrial,69738,C14H14,182.26,4.7,0,0,0.0,CC1=CC=CC=C1CC2=CC=CC=C2,PubChem,,,,Structure_PubChem,182.266,3.5858,0,0,0.0,14,2,2,,,,,182.266,,C14H14,,,,,,,,,,,Trouvé,,,,CID_69738,2-Benzyltoluene,1-benzyl-2-methylbenzene,CC1=CC=CC=C1CC2=CC=CC=C2,"InChI=1S/C14H14/c1-12-7-5-6-10-14(12)11-13-8-3-2-4-9-13/h2-10H,11H2,1H3",PQTAUFTUHHRKSS-UHFFFAOYSA-N
2-(Phenoxymethyl)benzoic acid,Industrial,69761,C14H12O3,228.24,2.9,1,3,46.5,C1=CC=C(C=C1)OCC2=CC=CC=C2C(=O)O,PubChem,,,,Structure_PubChem,228.247,2.9638,1,2,46.53,17,2,4,,,,,228.247,,C14H12O3,,,,,,,,,,,Trouvé,,,,CID_69761,2-(Phenoxymethyl)benzoic acid,2-(phenoxymethyl)benzoic acid,C1=CC=C(C=C1)OCC2=CC=CC=C2C(=O)O,"InChI=1S/C14H12O3/c15-14(16)13-9-5-4-6-11(13)10-17-12-7-2-1-3-8-12/h1-9H,10H2,(H,15,16)",YKNORODREYVARM-UHFFFAOYSA-N
Methylphenylsilane,Industrial,69836,C7H10Si,122.24,,0,0,0.0,C[SiH2]C1=CC=CC=C1,PubChem,,,,Structure_PubChem,122.243,0.5288,0,0,0.0,8,1,1,,,,,122.243,,C7H10Si,,,,,,,,,,,Trouvé,,,,CID_69836,Methylphenylsilane,methyl(phenyl)silane,C[SiH2]C1=CC=CC=C1,"InChI=1S/C7H10Si/c1-8-7-5-3-2-4-6-7/h2-6H,8H2,1H3",QRLBICHXRCOJDU-UHFFFAOYSA-N
Phenyltrimethylsilane,Industrial,69849,C9H14Si,150.29,,0,0,0.0,C[Si](C)(C)C1=CC=CC=C1,PubChem,,,,Structure_PubChem,150.297,2.2318,0,0,0.0,10,1,1,,,,,150.297,,C9H14Si,,,,,,,,,,,Trouvé,,,,CID_69849,Phenyltrimethylsilane,trimethyl(phenyl)silane,C[Si](C)(C)C1=CC=CC=C1,"InChI=1S/C9H14Si/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",KXFSUVJPEQYUGN-UHFFFAOYSA-N
"2,3,5,6-Tetrafluorophenol",Industrial,69858,C6H2F4O,166.07,2.1,1,5,20.2,C1=C(C(=C(C(=C1F)F)O)F)F,PubChem,,,,Structure_PubChem,166.073,1.9486,1,1,20.23,11,1,0,,,,,166.073,,C6H2F4O,,,,,,,,,,,Trouvé,,,,CID_69858,"2,3,5,6-Tetrafluorophenol","2,3,5,6-tetrafluorophenol",C1=C(C(=C(C(=C1F)F)O)F)F,"InChI=1S/C6H2F4O/c7-2-1-3(8)5(10)6(11)4(2)9/h1,11H",PBYIIRLNRCVTMQ-UHFFFAOYSA-N
Trimethylbenzylsilane,Industrial,69862,C10H16Si,164.32,,0,0,0.0,C[Si](C)(C)CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,164.324,3.1065,0,0,0.0,11,1,2,,,,,164.324,,C10H16Si,,,,,,,,,,,Trouvé,,,,CID_69862,Trimethylbenzylsilane,benzyl(trimethyl)silane,C[Si](C)(C)CC1=CC=CC=C1,"InChI=1S/C10H16Si/c1-11(2,3)9-10-7-5-4-6-8-10/h4-8H,9H2,1-3H3",MRIWRLGWLMRJIW-UHFFFAOYSA-N
Diphenylsilane,Industrial,69888,C12H12Si,184.31,,0,0,0.0,C1=CC=C(C=C1)[SiH2]C2=CC=CC=C2,PubChem,,,,Structure_PubChem,184.314,0.8062,0,0,0.0,13,2,2,,,,,184.314,,C12H12Si,,,,,,,,,,,Trouvé,,,,CID_69888,Diphenylsilane,diphenylsilane,C1=CC=C(C=C1)[SiH2]C2=CC=CC=C2,"InChI=1S/C12H12Si/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,13H2",VDCSGNNYCFPWFK-UHFFFAOYSA-N
"p,p'-(Phenylphosphinylidene)bisphenol",Industrial,69930,C18H15O3P,310.3,2.1,2,3,57.5,C1=CC=C(C=C1)P(=O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,PubChem,,,,Structure_PubChem,310.289,2.7372,2,3,57.53,22,3,3,,,,,310.289,,C18H15O3P,,,,,,,,,,,Trouvé,,,,CID_69930,"p,p'-(Phenylphosphinylidene)bisphenol",4-[(4-hydroxyphenyl)-phenylphosphoryl]phenol,C1=CC=C(C=C1)P(=O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,"InChI=1S/C18H15O3P/c19-14-6-10-17(11-7-14)22(21,16-4-2-1-3-5-16)18-12-8-15(20)9-13-18/h1-13,19-20H",FYXPKOPFEGFWHG-UHFFFAOYSA-N
Phenylphosphonic dichloride,Industrial,69990,C6H5Cl2OP,194.98,3.1,0,1,17.1,C1=CC=C(C=C1)P(=O)(Cl)Cl,PubChem,,,,Structure_PubChem,194.985,2.9826,0,1,17.07,10,1,1,,,,,194.985,,C6H5Cl2OP,,,,,,,,,,,Trouvé,,,,CID_69990,Phenylphosphonic dichloride,dichlorophosphorylbenzene,C1=CC=C(C=C1)P(=O)(Cl)Cl,"InChI=1S/C6H5Cl2OP/c7-10(8,9)6-4-2-1-3-5-6/h1-5H",IBDMRHDXAQZJAP-UHFFFAOYSA-N
alpha-(Methylsulphinyl)toluene,Industrial,69991,C8H10OS,154.23,1.0,0,2,36.3,CS(=O)CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,154.234,1.5651,0,1,17.07,10,1,2,,,,,154.234,,C8H10OS,,,,,,,,,,,Trouvé,,,,CID_69991,alpha-(Methylsulphinyl)toluene,methylsulfinylmethylbenzene,CS(=O)CC1=CC=CC=C1,"InChI=1S/C8H10OS/c1-10(9)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3",LISVNGUOWUKZQY-UHFFFAOYSA-N
p-(Trifluoromethoxy)phenol,Industrial,70015,C7H5F3O2,178.11,2.6,1,5,29.5,C1=CC(=CC=C1O)OC(F)(F)F,PubChem,,,,Structure_PubChem,178.109,2.2908,1,2,29.46,12,1,1,,,,,178.109,,C7H5F3O2,,,,,,,,,,,Trouvé,,,,CID_70015,p-(Trifluoromethoxy)phenol,4-(trifluoromethoxy)phenol,C1=CC(=CC=C1O)OC(F)(F)F,"InChI=1S/C7H5F3O2/c8-7(9,10)12-6-3-1-5(11)2-4-6/h1-4,11H",WDRJNKMAZMEYOF-UHFFFAOYSA-N
Diphenylphosphine,Industrial,70017,C12H11P,186.19,3.0,0,0,0.0,C1=CC=C(C=C1)PC2=CC=CC=C2,PubChem,,,,Structure_PubChem,186.194,2.3159,0,0,0.0,13,2,2,,,,,186.194,,C12H11P,,,,,,,,,,,Trouvé,,,,CID_70017,Diphenylphosphine,diphenylphosphane,C1=CC=C(C=C1)PC2=CC=CC=C2,"InChI=1S/C12H11P/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",GPAYUJZHTULNBE-UHFFFAOYSA-N
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",Industrial,70029,C15H14,194.27,4.5,0,0,0.0,C1CC2=CC=CC=C2CC3=CC=CC=C31,PubChem,,,,Structure_PubChem,194.277,3.376,0,0,0.0,15,3,0,,,,,194.277,,C15H14,,,,,,,,,,,Trouvé,,,,CID_70029,"10,11-dihydro-5H-dibenzo(a,d)cycloheptene","tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaene",C1CC2=CC=CC=C2CC3=CC=CC=C31,"InChI=1S/C15H14/c1-3-7-14-11-15-8-4-2-6-13(15)10-9-12(14)5-1/h1-8H,9-11H2",PJQCANLCUDUPRF-UHFFFAOYSA-N
Cyclopropylbenzene,Industrial,70112,C9H10,118.18,3.3,0,0,0.0,C1CC1C2=CC=CC=C2,PubChem,,,,Structure_PubChem,118.179,2.564,0,0,0.0,9,2,1,,,,,118.179,,C9H10,,,,,,,,,,,Trouvé,,,,CID_70112,Cyclopropylbenzene,cyclopropylbenzene,C1CC1C2=CC=CC=C2,"InChI=1S/C9H10/c1-2-4-8(5-3-1)9-6-7-9/h1-5,9H,6-7H2",VFSFCYAQBIPUSL-UHFFFAOYSA-N
