Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire,PubChem_CID,Formule_PubChem,Masse_molaire_PubChem,LogP_PubChem,HBD_PubChem,HBA_PubChem,TPSA_PubChem,Atomes_lourds_PubChem,Anneaux_PubChem,Liaisons_rotatables_PubChem,SMILES_isomerique,IUPAC_Name,PubChem_Statut,RDKit_Atomes_lourds,RDKit_Anneaux,RDKit_Liaisons_rotatables,Nom_original,Nom_PubChem,IUPAC_Name_PubChem,SMILES_PubChem,InChI_PubChem,InChIKey_PubChem
Water water water water ethanol,Industrial,57443785,C2H14O5,118.13,,5,5,24.2,CCO.O.O.O.O,PubChem,,,,Structure_PubChem,118.129,-3.3002,1,1,146.23,7,0,0,,,,,118.129,,C2H14O5,,,,,,,,,,,Trouvé,,,,CID_57443785,Water water water water ethanol,ethanol;tetrahydrate,CCO.O.O.O.O,"InChI=1S/C2H6O.4H2O/c1-2-3;;;;/h3H,2H2,1H3;4*1H2",QPNLLKBRNVXMCG-UHFFFAOYSA-N
Iridium;methanol,Industrial,57448736,CH4IrO,224.26,,1,1,20.2,CO.[Ir],PubChem,,,,Structure_PubChem,224.259,-0.394,1,1,20.23,3,0,0,,,,,224.259,,CH4IrO,,,,,,,,,,,Trouvé,,,,CID_57448736,Iridium;methanol,iridium;methanol,CO.[Ir],"InChI=1S/CH4O.Ir/c1-2;/h2H,1H3;",JJNVAYCGZVUOFH-UHFFFAOYSA-N
Propan-2-one;yttrium,Industrial,57449354,C3H6OY,146.98,,0,1,17.1,CC(=O)C.[Y],PubChem,,,,Structure_PubChem,146.986,0.5928,0,1,17.07,5,0,0,,,,,146.986,,C3H6OY,,,,,,,,,,,Trouvé,,,,CID_57449354,Propan-2-one;yttrium,propan-2-one;yttrium,CC(=O)C.[Y],InChI=1S/C3H6O.Y/c1-3(2)4;/h1-2H3;,UEKBSBQGPKTRDR-UHFFFAOYSA-N
CID 57469866,Industrial,57469866,CH4OSn,150.75,,1,1,20.2,CO.[Sn],PubChem,,,,Structure_PubChem,150.753,-0.7723,1,1,20.23,3,0,0,,,,,150.753,,CH4OSn,,,,,,,,,,,Trouvé,,,,CID_57469866,CID 57469866,,CO.[Sn],"InChI=1S/CH4O.Sn/c1-2;/h2H,1H3;",BAYWBMHACGGBSO-UHFFFAOYSA-N
CID 57471554,Industrial,57471554,C3H6InO,172.9,,0,1,17.1,CC(=O)C.[In],PubChem,,,,Structure_PubChem,172.898,0.2145,0,1,17.07,5,0,0,,,,,172.898,,C3H6InO,,,,,,,,,,,Trouvé,,,,CID_57471554,CID 57471554,,CC(=O)C.[In],InChI=1S/C3H6O.In/c1-3(2)4;/h1-2H3;,YPWMFDFZVVRFEG-UHFFFAOYSA-N
Methanol;oxotin,Industrial,57474511,CH4O2Sn,166.75,,1,2,37.3,CO.O=[Sn],PubChem,,,,Structure_PubChem,166.752,-0.8911,1,2,37.3,4,0,0,,,,,166.752,,CH4O2Sn,,,,,,,,,,,Trouvé,,,,CID_57474511,Methanol;oxotin,methanol;oxotin,CO.O=[Sn],"InChI=1S/CH4O.O.Sn/c1-2;;/h2H,1H3;;",SCKKQLPQFJYORX-UHFFFAOYSA-N
CID 57481241,Industrial,57481241,C2H5O+,45.06,-0.1,1,1,20.2,[CH2+]CO,PubChem,,,,Structure_PubChem,45.061,-0.1872,1,1,20.23,3,0,0,,,,,45.061,,C2H5O+,,,,,,,,,,,Trouvé,,,,CID_57481241,CID 57481241,ethanol,[CH2+]CO,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2/q+1",KSGCEDNYQMNXPE-UHFFFAOYSA-N
Carbanide;methanol;uranium,Industrial,57486026,C2H7OU-,285.11,,1,2,20.2,[CH3-].CO.[U],PubChem,,,,Structure_PubChem,285.106,0.0588,1,1,20.23,4,0,0,,,,,285.106,,C2H7OU-,,,,,,,,,,,Trouvé,,,,CID_57486026,Carbanide;methanol;uranium,carbanide;methanol;uranium,[CH3-].CO.[U],"InChI=1S/CH4O.CH3.U/c1-2;;/h2H,1H3;1H3;/q;-1;",GTIONFJIQSLPNQ-UHFFFAOYSA-N
CID 57493457,Industrial,57493457,C3H6MgO,82.38,,0,1,17.1,CC(=O)C.[Mg],PubChem,,,,Structure_PubChem,82.385,0.2145,0,1,17.07,5,0,0,,,,,82.385,,C3H6MgO,,,,,,,,,,,Trouvé,,,,CID_57493457,CID 57493457,,CC(=O)C.[Mg],InChI=1S/C3H6O.Mg/c1-3(2)4;/h1-2H3;,QGNUQTQHXKTCCK-UHFFFAOYSA-N
Calcium;propan-2-one,Industrial,57493458,C3H6CaO+2,98.16,,0,1,17.1,CC(=O)C.[Ca+2],PubChem,,,,Structure_PubChem,98.158,0.2145,0,1,17.07,5,0,0,,,,,98.158,,C3H6CaO+2,,,,,,,,,,,Trouvé,,,,CID_57493458,Calcium;propan-2-one,calcium propan-2-one,CC(=O)C.[Ca+2],InChI=1S/C3H6O.Ca/c1-3(2)4;/h1-2H3;/q;+2,KZAGQXAIXITBQV-UHFFFAOYSA-N
CID 57493459,Industrial,57493459,C3H6BaO,195.41,,0,1,17.1,CC(=O)C.[Ba],PubChem,,,,Structure_PubChem,195.408,0.2145,0,1,17.07,5,0,0,,,,,195.408,,C3H6BaO,,,,,,,,,,,Trouvé,,,,CID_57493459,CID 57493459,,CC(=O)C.[Ba],InChI=1S/C3H6O.Ba/c1-3(2)4;/h1-2H3;,QZEFPFZYRDLGOL-UHFFFAOYSA-N
Methanol--water (1/2),Industrial,57498073,CH8O3,68.07,,3,3,22.2,CO.O.O,PubChem,,,,Structure_PubChem,68.072,-2.0409,1,1,83.23,4,0,0,,,,,68.072,,CH8O3,,,,,,,,,,,Trouvé,,,,CID_57498073,Methanol--water (1/2),methanol;dihydrate,CO.O.O,"InChI=1S/CH4O.2H2O/c1-2;;/h2H,1H3;2*1H2",TWETVNCREUJUBY-UHFFFAOYSA-N
Dihydrate ethanol,Industrial,57498539,C2H10O3,82.1,,3,3,22.2,CCO.O.O,PubChem,,,,Structure_PubChem,82.099,-1.6508,1,1,83.23,5,0,0,,,,,82.099,,C2H10O3,,,,,,,,,,,Trouvé,,,,CID_57498539,Dihydrate ethanol,ethanol;dihydrate,CCO.O.O,"InChI=1S/C2H6O.2H2O/c1-2-3;;/h3H,2H2,1H3;2*1H2",PHJMNLZSBSXKJE-UHFFFAOYSA-N
Propan-2-one;trichlorotitanium(1+),Industrial,57511387,C3H5Cl3OTi,211.29,,0,2,17.1,CC(=O)[CH2-].Cl[Ti+](Cl)Cl,PubChem,,,,Structure_PubChem,211.298,2.4755,0,1,17.07,8,0,0,,,,,211.298,,C3H5Cl3OTi,,,,,,,,,,,Trouvé,,,,CID_57511387,Propan-2-one;trichlorotitanium(1+),propan-2-one;trichlorotitanium(1+),CC(=O)[CH2-].Cl[Ti+](Cl)Cl,"InChI=1S/C3H5O.3ClH.Ti/c1-3(2)4;;;;/h1H2,2H3;3*1H;/q-1;;;;+4/p-3",ILXVGZTUKGIZDC-UHFFFAOYSA-K
CID 57515981,Industrial,57515981,C3H6O,58.08,0.3,1,1,20.2,[CH]CCO,PubChem,,,,Structure_PubChem,58.08,0.0799,1,1,20.23,4,0,1,,,,,58.08,,C3H6O,,,,,,,,,,,Trouvé,,,,CID_57515981,CID 57515981,,[CH]CCO,"InChI=1S/C3H6O/c1-2-3-4/h1,4H,2-3H2",QIJDUSWIQUJFBL-UHFFFAOYSA-N
Chlorotitanium(1+);propan-2-one,Industrial,57516097,C3H5ClOTi,140.39,,0,2,17.1,CC(=O)[CH2-].Cl[Ti+],PubChem,,,,Structure_PubChem,140.392,1.0965,0,1,17.07,6,0,0,,,,,140.392,,C3H5ClOTi,,,,,,,,,,,Trouvé,,,,CID_57516097,Chlorotitanium(1+);propan-2-one,chlorotitanium(1+);propan-2-one,CC(=O)[CH2-].Cl[Ti+],"InChI=1S/C3H5O.ClH.Ti/c1-3(2)4;;/h1H2,2H3;1H;/q-1;;+2/p-1",KESGWBWNRPLZFG-UHFFFAOYSA-M
(s)-1-Fluoroethanol,Industrial,57518764,C2H5FO,64.06,0.4,1,2,20.2,C[C@@H](O)F,PubChem,,,,Structure_PubChem,64.059,0.2942,1,1,20.23,4,0,0,,,,,64.059,,C2H5FO,,,,,,,,,,,Trouvé,,,,CID_57518764,(s)-1-Fluoroethanol,(1S)-1-fluoroethanol,C[C@@H](O)F,"InChI=1S/C2H5FO/c1-2(3)4/h2,4H,1H3/t2-/m1/s1",OGBOTYGRYZDLMG-UWTATZPHSA-N
Propan-1-ol;bis(rhodium),Industrial,57557885,C3H7ORh2-,264.9,,1,2,20.2,CC[CH-]O.[Rh].[Rh],PubChem,,,,Structure_PubChem,264.9,0.9257,1,1,20.23,6,0,1,,,,,264.9,,C3H7ORh2-,,,,,,,,,,,Trouvé,,,,CID_57557885,Propan-1-ol;bis(rhodium),propan-1-ol;bis(rhodium),CC[CH-]O.[Rh].[Rh],"InChI=1S/C3H7O.2Rh/c1-2-3-4;;/h3-4H,2H2,1H3;;/q-1;;",RHBHEBUAQCYSCU-UHFFFAOYSA-N
Propan-2-one;uranium;vanadium,Industrial,57592548,C3H5OUV-,346.04,,0,2,17.1,CC(=O)[CH2-].[V].[U],PubChem,,,,Structure_PubChem,346.045,0.407,0,1,17.07,6,0,0,,,,,346.045,,C3H5OUV-,,,,,,,,,,,Trouvé,,,,CID_57592548,Propan-2-one;uranium;vanadium,propan-2-one;uranium;vanadium,CC(=O)[CH2-].[V].[U],"InChI=1S/C3H5O.U.V/c1-3(2)4;;/h1H2,2H3;;/q-1;;",ZKKYQJIUOTYGFK-UHFFFAOYSA-N
Ditritiomethanol,Industrial,57675570,CH4O,36.058,-0.5,1,1,20.2,[3H]C([3H])O,PubChem,,,,Structure_PubChem,36.0581,-0.3915,1,1,20.23,2,0,0,,,,,36.0581,,CH4O,,,,,,,,,,,Trouvé,,,,CID_57675570,Ditritiomethanol,ditritiomethanol,[3H]C([3H])O,"InChI=1S/CH4O/c1-2/h2H,1H3/i1T2",OKKJLVBELUTLKV-LLCOILBOSA-N
